0L,0S,1L,1S
1000,1000,1000,1000
1159,878,1054,907
1315,767,1093,823
1474,667,1117,740
1632,582,1117,667
1785,506,1105,602
1934,439,1086,540
2076,381,1056,485
2209,329,1023,438
2333,288,982,395
2452,252,935,359
2565,220,885,327
2673,193,835,298
2770,170,785,273
2859,151,737,251
2939,135,692,232
3018,121,645,213
3089,107,603,200
3154,95,562,187
3213,85,523,177
3272,76,483,167
3325,68,446,160
3369,63,413,152
3415,55,381,147
3455,50,351,142
3490,47,324,137
3523,44,298,133
3553,41,275,130
3581,38,253,126
3606,36,232,124
3628,34,212,123
3652,31,194,121
3672,30,177,120
3691,27,161,119
3709,26,146,117
3727,24,132,115
3741,22,121,114
3752,22,110,115
3761,21,100,115
3770,20,91,116
3780,19,81,118
3787,18,74,119
3793,17,67,121
3798,15,61,124
3803,14,55,126
3806,14,49,130
3806,14,44,134
3807,13,40,138
3810,12,36,139
3813,11,32,141
3813,11,29,146
3811,11,26,150
3808,11,23,156
3807,10,20,161
3805,9,18,167
3798,9,16,175
3792,9,14,183
3786,9,12,191
3778,9,10,201
3771,9,9,210
3764,9,8,217
3757,9,7,225
3750,9,6,233
3740,9,5,244
3729,9,4,256
3718,9,3,268
3707,9,2,280
3694,9,0,294
3683,9,0,306
3672,9,0,318
3657,9,0,333
3641,9,0,349
3626,9,0,364
3606,9,0,383
3587,9,0,402
3568,9,0,422
3549,9,0,441
3526,9,0,464
3503,9,0,486
3480,9,0,510
3458,9,0,532
3430,9,0,559
3399,9,0,591
3364,9,0,626
3336,9,0,654
3304,8,0,686
3269,8,0,721
3231,8,0,760
3189,8,0,802
3147,8,0,844
3102,8,0,889
3057,8,0,934
3012,8,0,978
2968,8,0,1023
2923,7,0,1069
2876,7,0,1116
2820,7,0,1172
2767,7,0,1225
2714,7,0,1277
2652,7,0,1340
2597,7,0,1395
2531,7,0,1461
2472,7,0,1520
2406,7,0,1586
2347,7,0,1644
2281,7,0,1711
2224,7,0,1768
2156,7,0,1835
2082,7,0,1910
2022,7,0,1969
1952,7,0,2040
1878,6,0,2114
1799,6,0,2194
1719,6,0,2274
1639,6,0,2354
1559,6,0,2434
1479,6,0,2514
1399,6,0,2594
1320,6,0,2673
1269,5,0,2724
1199,5,0,2795
1122,5,0,2872
1073,4,0,2921
1003,4,0,2992
956,3,0,3039
887,3,0,3109
841,2,0,3155
801,1,0,3196
762,0,0,3236
724,0,0,3275
686,0,0,3313
647,0,0,3352
609,0,0,3390
571,0,0,3428
533,0,0,3466
495,0,0,3504
456,0,0,3543
419,0,0,3580
380,0,0,3619
342,0,0,3657
304,0,0,3695
266,0,0,3733
228,0,0,3771
190,0,0,3809
152,0,0,3847
114,0,0,3885
76,0,0,3923
38,0,0,3961
0,0,0,4000
0,0,0,4000
0,0,0,4000
