Generation,Cooperative+Large,Cooperative+Small,Selfish+Large,Selfish+Small
0,1000,1000,1000,1000
1,987,914,1196,902
2,940,842,1384,832
3,880,780,1566,772
4,802,740,1736,720
5,718,703,1886,691
6,634,671,2024,669
7,549,661,2139,650
8,472,657,2233,636
9,399,661,2303,635
10,336,668,2353,641
11,279,692,2387,640
12,229,721,2396,652
13,188,748,2389,672
14,154,779,2370,695
15,124,812,2345,717
16,100,875,2290,733
17,79,934,2222,763
18,62,991,2148,798
19,48,1047,2070,834
20,38,1108,1972,881
21,29,1158,1884,926
22,21,1243,1776,958
23,16,1332,1657,993
24,11,1416,1536,1034
25,8,1498,1417,1075
26,6,1607,1292,1094
27,4,1698,1172,1125
28,2,1792,1054,1149
29,1,1886,938,1172
30,0,1987,824,1188
31,0,2081,711,1206
32,0,2177,600,1221
33,0,2261,521,1217
34,0,2329,448,1222
35,0,2416,376,1207
36,0,2503,305,1190
37,0,2586,235,1178
38,0,2664,167,1168
39,0,2731,131,1137
40,0,2775,98,1126
41,0,2833,64,1101
42,0,2886,32,1081
43,0,2958,0,1041
44,0,3004,0,995
45,0,3051,0,948
46,0,3094,0,905
47,0,3132,0,867
48,0,3177,0,822
49,0,3211,0,788
50,0,3255,0,744
51,0,3289,0,710
52,0,3328,0,671
53,0,3361,0,638
54,0,3407,0,592
55,0,3440,0,559
56,0,3481,0,518
57,0,3515,0,484
58,0,3550,0,449
59,0,3578,0,421
60,0,3609,0,390
61,0,3634,0,365
62,0,3661,0,338
63,0,3683,0,316
64,0,3704,0,295
65,0,3722,0,277
66,0,3743,0,256
67,0,3759,0,240
68,0,3777,0,222
69,0,3794,0,205
70,0,3809,0,190
71,0,3821,0,178
72,0,3835,0,164
73,0,3847,0,152
74,0,3858,0,141
75,0,3870,0,129
76,0,3881,0,118
77,0,3890,0,109
78,0,3899,0,100
79,0,3907,0,92
80,0,3915,0,84
81,0,3922,0,77
82,0,3929,0,70
83,0,3935,0,64
84,0,3941,0,58
85,0,3947,0,52
86,0,3953,0,46
87,0,3957,0,42
88,0,3962,0,37
89,0,3966,0,33
90,0,3969,0,30
91,0,3972,0,27
92,0,3975,0,24
93,0,3977,0,22
94,0,3979,0,20
95,0,3981,0,18
96,0,3983,0,16
97,0,3985,0,14
98,0,3987,0,12
99,0,3988,0,11
100,0,3989,0,10
101,0,3990,0,9
102,0,3991,0,8
103,0,3992,0,7
104,0,3993,0,6
105,0,3994,0,5
106,0,3995,0,4
107,0,3996,0,3
108,0,3997,0,2
109,0,3998,0,1
110,0,3999,0,0
111,0,4000,0,0
112,0,4000,0,0
113,0,4000,0,0
114,0,4000,0,0
115,0,4000,0,0
116,0,4000,0,0
117,0,4000,0,0
118,0,4000,0,0
119,0,4000,0,0
120,0,4000,0,0
121,0,4000,0,0
122,0,4000,0,0
123,0,4000,0,0
124,0,4000,0,0
125,0,4000,0,0
126,0,4000,0,0
127,0,4000,0,0
128,0,4000,0,0
129,0,4000,0,0
130,0,4000,0,0
131,0,4000,0,0
132,0,4000,0,0
133,0,4000,0,0
134,0,4000,0,0
135,0,4000,0,0
136,0,4000,0,0
137,0,4000,0,0
138,0,4000,0,0
139,0,4000,0,0
140,0,4000,0,0
141,0,4000,0,0
142,0,4000,0,0
143,0,4000,0,0
144,0,4000,0,0
145,0,4000,0,0
146,0,4000,0,0
147,0,4000,0,0
148,0,4000,0,0
149,0,4000,0,0
150,0,4000,0,0
