00000000L,00000000S,11111111L,11111111S
1000,1000,1000,1000
1157,876,1055,910
1315,766,1094,823
1473,665,1118,742
1636,578,1112,672
1788,501,1101,608
1933,434,1085,545
2075,377,1057,490
2208,327,1023,440
2335,286,979,398
2447,252,936,362
2561,222,886,329
2667,194,837,300
2766,172,786,274
2857,153,736,252
2937,138,691,232
3015,123,644,216
3087,110,601,200
3155,99,559,185
3217,90,516,174
3274,81,478,165
3324,73,444,157
3373,66,411,148
3419,61,379,140
3455,56,353,134
3494,51,325,128
3530,45,299,124
3560,42,276,120
3590,39,253,116
3620,35,231,112
3646,32,212,108
3668,30,193,106
3689,28,176,105
3707,26,161,104
3725,23,146,104
3742,20,132,104
3754,19,119,106
3764,17,108,108
3773,16,99,109
3782,16,90,110
3791,16,81,110
3799,15,73,111
3805,15,67,112
3810,15,61,112
3818,14,54,112
3822,14,49,113
3826,13,44,114
3831,13,40,115
3831,12,36,119
3834,12,32,120
3833,12,29,124
3832,12,26,128
3831,12,23,132
3829,12,20,137
3828,11,18,141
3825,11,16,146
3823,10,14,151
3819,10,12,157
3816,10,10,161
3814,9,9,166
3810,8,8,172
3803,8,7,181
3796,8,6,189
3789,8,5,196
3779,8,4,207
3772,8,3,215
3765,8,2,223
3758,7,1,232
3748,7,0,243
3737,7,0,255
3725,7,0,267
3713,7,0,278
3699,7,0,293
3683,7,0,309
3667,7,0,325
3648,7,0,343
3633,7,0,359
3614,7,0,378
3594,7,0,397
3571,7,0,420
3552,7,0,439
3529,7,0,463
3506,7,0,485
3479,7,0,513
3448,7,0,544
3423,7,0,569
3391,7,0,600
3360,7,0,632
3332,7,0,660
3300,7,0,691
3266,6,0,726
3227,6,0,766
3185,6,0,808
3143,6,0,849
3102,6,0,891
3057,6,0,936
3012,6,0,981
2967,6,0,1025
2923,6,0,1070
2876,6,0,1117
2820,6,0,1173
2767,6,0,1226
2714,6,0,1279
2652,6,0,1341
2597,6,0,1396
2531,6,0,1462
2472,6,0,1521
2405,6,0,1588
2347,6,0,1646
2278,6,0,1715
2204,6,0,1789
2145,6,0,1848
2075,6,0,1918
1999,6,0,1994
1920,6,0,2073
1862,6,0,2131
1792,6,0,2201
1717,6,0,2276
1639,6,0,2354
1559,6,0,2434
1479,6,0,2514
1399,6,0,2594
1320,6,0,2673
1269,5,0,2724
1199,5,0,2795
1122,5,0,2872
1073,4,0,2921
1003,4,0,2992
956,3,0,3039
887,3,0,3109
841,2,0,3155
801,1,0,3196
762,0,0,3236
724,0,0,3275
686,0,0,3313
647,0,0,3352
609,0,0,3390
571,0,0,3428
533,0,0,3466
495,0,0,3504
456,0,0,3543
419,0,0,3580
380,0,0,3619
342,0,0,3657
304,0,0,3695
266,0,0,3733
228,0,0,3771
190,0,0,3809
152,0,0,3847
114,0,0,3885
76,0,0,3923
