0000L,0000S,0001L,0001S,0011L,0011S,0111L,0111S,1111L,1111S
400,400,400,400,400,400,400,400,400,400
464,359,452,356,442,356,433,359,421,353
529,322,503,315,485,314,461,318,437,310
595,284,554,276,521,275,487,281,451,270
665,248,604,239,555,240,505,244,461,233
734,217,648,206,585,209,518,212,463,203
803,189,694,178,612,180,526,183,458,172
871,164,734,150,634,155,533,156,453,147
938,142,771,127,648,133,534,134,445,124
1004,123,805,107,660,113,531,114,435,103
1064,106,837,91,672,96,524,96,423,87
1126,90,867,76,679,80,517,80,406,72
1179,77,899,64,686,68,507,68,389,59
1238,66,919,54,690,57,496,58,371,48
1291,54,942,45,690,49,484,49,353,39
1346,45,960,37,687,41,471,41,335,32
1400,38,972,31,683,34,457,34,319,27
1451,32,986,26,678,29,442,28,301,22
1502,26,1002,21,669,24,424,23,285,19
1553,22,1013,17,659,19,408,19,268,16
1605,19,1025,14,649,15,389,16,250,13
1653,15,1034,12,640,12,370,13,236,10
1704,13,1041,9,629,9,352,10,220,9
1748,11,1047,6,618,7,338,7,206,7
1790,9,1052,5,608,5,325,4,192,6
1836,7,1056,4,594,4,309,2,179,4
1880,5,1059,3,580,2,295,1,166,3
1928,3,1059,1,568,1,279,0,154,2
1973,1,1059,0,555,0,266,0,141,0
2018,0,1056,0,541,0,253,0,130,0
2056,0,1055,0,526,0,242,0,119,0
2098,0,1052,0,512,0,228,0,107,0
2134,0,1047,0,501,0,216,0,99,0
2176,0,1040,0,488,0,204,0,90,0
2217,0,1033,0,472,0,194,0,82,0
2251,0,1031,0,461,0,182,0,72,0
2290,0,1025,0,447,0,172,0,63,0
2336,0,1010,0,435,0,162,0,54,0
2371,0,1004,0,422,0,151,0,48,0
2405,0,997,0,411,0,142,0,43,0
2437,0,989,0,402,0,131,0,38,0
2476,0,977,0,391,0,121,0,33,0
2509,0,971,0,377,0,112,0,28,0
2545,0,959,0,365,0,104,0,23,0
2578,0,948,0,354,0,98,0,20,0
2608,0,940,0,341,0,92,0,17,0
2638,0,932,0,329,0,85,0,15,0
2668,0,918,0,320,0,79,0,13,0
2697,0,907,0,311,0,72,0,11,0
2727,0,895,0,300,0,67,0,9,0
2752,0,886,0,290,0,62,0,7,0
2780,0,873,0,282,0,57,0,6,0
2807,0,863,0,270,0,52,0,5,0
2835,0,848,0,263,0,47,0,4,0
2864,0,834,0,253,0,43,0,3,0
2885,0,823,0,247,0,40,0,2,0
2910,0,811,0,239,0,36,0,1,0
2935,0,797,0,232,0,33,0,0,0
2959,0,787,0,222,0,30,0,0,0
2978,0,777,0,215,0,28,0,0,0
3001,0,765,0,207,0,26,0,0,0
3023,0,751,0,200,0,24,0,0,0
3043,0,741,0,192,0,22,0,0,0
3065,0,730,0,184,0,19,0,0,0
3088,0,715,0,177,0,17,0,0,0
3108,0,705,0,170,0,15,0,0,0
3125,0,695,0,164,0,14,0,0,0
3147,0,680,0,159,0,13,0,0,0
3166,0,669,0,152,0,12,0,0,0
3182,0,661,0,144,0,11,0,0,0
3200,0,652,0,136,0,10,0,0,0
3219,0,638,0,132,0,9,0,0,0
3238,0,628,0,124,0,8,0,0,0
3257,0,615,0,119,0,7,0,0,0
3271,0,606,0,115,0,6,0,0,0
3286,0,598,0,109,0,5,0,0,0
3302,0,588,0,103,0,4,0,0,0
3320,0,575,0,99,0,3,0,0,0
3336,0,564,0,95,0,2,0,0,0
3349,0,555,0,92,0,1,0,0,0
3363,0,547,0,88,0,0,0,0,0
3378,0,536,0,84,0,0,0,0,0
3390,0,527,0,81,0,0,0,0,0
3403,0,519,0,76,0,0,0,0,0
3415,0,511,0,73,0,0,0,0,0
3425,0,505,0,69,0,0,0,0,0
3438,0,495,0,66,0,0,0,0,0
3449,0,487,0,63,0,0,0,0,0
3463,0,476,0,59,0,0,0,0,0
3475,0,467,0,57,0,0,0,0,0
3483,0,461,0,55,0,0,0,0,0
3493,0,453,0,53,0,0,0,0,0
3507,0,442,0,50,0,0,0,0,0
3519,0,431,0,48,0,0,0,0,0
3529,0,426,0,44,0,0,0,0,0
3537,0,420,0,42,0,0,0,0,0
3548,0,411,0,39,0,0,0,0,0
3559,0,404,0,36,0,0,0,0,0
3567,0,397,0,34,0,0,0,0,0
3577,0,390,0,31,0,0,0,0,0
3588,0,382,0,28,0,0,0,0,0
3601,0,371,0,26,0,0,0,0,0
3611,0,364,0,24,0,0,0,0,0
3624,0,353,0,22,0,0,0,0,0
3636,0,343,0,20,0,0,0,0,0
3644,0,335,0,19,0,0,0,0,0
3653,0,328,0,18,0,0,0,0,0
3662,0,320,0,17,0,0,0,0,0
3670,0,313,0,16,0,0,0,0,0
3679,0,305,0,15,0,0,0,0,0
3692,0,293,0,14,0,0,0,0,0
3702,0,284,0,12,0,0,0,0,0
3714,0,273,0,11,0,0,0,0,0
3725,0,263,0,10,0,0,0,0,0
3732,0,257,0,9,0,0,0,0,0
3741,0,249,0,8,0,0,0,0,0
3748,0,243,0,7,0,0,0,0,0
3756,0,236,0,6,0,0,0,0,0
3763,0,230,0,5,0,0,0,0,0
3771,0,223,0,4,0,0,0,0,0
3777,0,218,0,3,0,0,0,0,0
3782,0,214,0,2,0,0,0,0,0
3791,0,206,0,1,0,0,0,0,0
3798,0,200,0,0,0,0,0,0,0
3809,0,190,0,0,0,0,0,0,0
3815,0,184,0,0,0,0,0,0,0
3822,0,177,0,0,0,0,0,0,0
3827,0,172,0,0,0,0,0,0,0
3832,0,167,0,0,0,0,0,0,0
3838,0,161,0,0,0,0,0,0,0
3844,0,155,0,0,0,0,0,0,0
3850,0,149,0,0,0,0,0,0,0
3854,0,145,0,0,0,0,0,0,0
3860,0,139,0,0,0,0,0,0,0
3865,0,134,0,0,0,0,0,0,0
3870,0,129,0,0,0,0,0,0,0
3874,0,125,0,0,0,0,0,0,0
3878,0,121,0,0,0,0,0,0,0
3881,0,118,0,0,0,0,0,0,0
3885,0,114,0,0,0,0,0,0,0
3890,0,109,0,0,0,0,0,0,0
3892,0,107,0,0,0,0,0,0,0
3898,0,101,0,0,0,0,0,0,0
3901,0,98,0,0,0,0,0,0,0
3905,0,94,0,0,0,0,0,0,0
3909,0,90,0,0,0,0,0,0,0
3914,0,85,0,0,0,0,0,0,0
3916,0,83,0,0,0,0,0,0,0
3919,0,80,0,0,0,0,0,0,0
3922,0,77,0,0,0,0,0,0,0
3924,0,75,0,0,0,0,0,0,0
