00L,00S,01L,01S,11L,11S
667,667,667,667,667,667
775,601,737,589,703,592
883,541,804,518,730,520
997,481,862,451,751,454
1114,424,916,388,760,395
1228,372,960,333,760,345
1340,327,997,286,753,294
1449,285,1030,241,743,249
1555,248,1052,204,729,209
1658,213,1070,171,707,177
1756,184,1083,145,680,150
1847,159,1091,123,654,123
1931,135,1094,103,630,103
2022,116,1091,85,598,86
2103,98,1090,71,564,72
2175,85,1086,59,533,59
2259,71,1067,50,503,47
2335,61,1048,42,473,38
2409,52,1030,35,442,30
2475,44,1012,28,413,25
2538,37,994,22,386,20
2602,30,975,17,357,16
2663,24,952,14,332,11
2725,19,927,11,306,9
2782,14,904,8,282,7
2838,11,878,5,259,5
2891,8,853,4,237,4
2942,7,826,3,217,2
2992,5,798,2,199,1
3039,4,770,1,182,0
3083,3,748,0,165,0
3121,0,728,0,150,0
3159,0,704,0,136,0
3200,0,676,0,123,0
3242,0,646,0,110,0
3275,0,624,0,99,0
3307,0,602,0,89,0
3336,0,583,0,79,0
3365,0,563,0,71,0
3389,0,545,0,64,0
3417,0,526,0,56,0
3448,0,503,0,48,0
3474,0,482,0,43,0
3494,0,467,0,38,0
3515,0,449,0,34,0
3536,0,432,0,30,0
3559,0,413,0,27,0
3576,0,399,0,24,0
3595,0,382,0,21,0
3612,0,368,0,19,0
3626,0,356,0,17,0
3646,0,338,0,14,0
3661,0,326,0,11,0
3675,0,314,0,9,0
3687,0,303,0,8,0
3699,0,292,0,7,0
3712,0,281,0,6,0
3724,0,269,0,5,0
3733,0,261,0,4,0
3744,0,252,0,3,0
3754,0,242,0,2,0
3763,0,234,0,1,0
3772,0,226,0,0,0
3782,0,217,0,0,0
3790,0,209,0,0,0
3798,0,201,0,0,0
3806,0,193,0,0,0
3815,0,184,0,0,0
3824,0,175,0,0,0
3831,0,168,0,0,0
3837,0,162,0,0,0
3842,0,157,0,0,0
3850,0,149,0,0,0
3854,0,145,0,0,0
3859,0,140,0,0,0
3867,0,132,0,0,0
3875,0,124,0,0,0
3879,0,120,0,0,0
3883,0,116,0,0,0
3886,0,113,0,0,0
3891,0,108,0,0,0
3894,0,105,0,0,0
3899,0,100,0,0,0
3903,0,96,0,0,0
3907,0,92,0,0,0
3911,0,88,0,0,0
3913,0,86,0,0,0
3917,0,82,0,0,0
3919,0,80,0,0,0
3923,0,76,0,0,0
3927,0,72,0,0,0
3929,0,70,0,0,0
3931,0,68,0,0,0
3933,0,66,0,0,0
3936,0,63,0,0,0
3938,0,61,0,0,0
3942,0,57,0,0,0
3946,0,53,0,0,0
3949,0,50,0,0,0
3952,0,47,0,0,0
3954,0,45,0,0,0
3957,0,42,0,0,0
3959,0,40,0,0,0
3961,0,38,0,0,0
3963,0,36,0,0,0
3965,0,34,0,0,0
3967,0,32,0,0,0
3971,0,28,0,0,0
3972,0,27,0,0,0
3973,0,26,0,0,0
3974,0,25,0,0,0
3976,0,23,0,0,0
3977,0,22,0,0,0
3978,0,21,0,0,0
3979,0,20,0,0,0
3981,0,18,0,0,0
3982,0,17,0,0,0
3983,0,16,0,0,0
3984,0,15,0,0,0
3985,0,14,0,0,0
3986,0,13,0,0,0
3987,0,12,0,0,0
3988,0,11,0,0,0
3989,0,10,0,0,0
3990,0,9,0,0,0
3991,0,8,0,0,0
3992,0,7,0,0,0
3993,0,6,0,0,0
3994,0,5,0,0,0
3995,0,4,0,0,0
3996,0,3,0,0,0
3997,0,2,0,0,0
3998,0,1,0,0,0
3999,0,0,0,0,0
4000,0,0,0,0,0
4000,0,0,0,0,0
4000,0,0,0,0,0
4000,0,0,0,0,0
4000,0,0,0,0,0
4000,0,0,0,0,0
4000,0,0,0,0,0
4000,0,0,0,0,0
4000,0,0,0,0,0
4000,0,0,0,0,0
4000,0,0,0,0,0
4000,0,0,0,0,0
4000,0,0,0,0,0
4000,0,0,0,0,0
4000,0,0,0,0,0
4000,0,0,0,0,0
4000,0,0,0,0,0
